,BLOCK_TIMESTAMP,TOKEN0,TOKEN1,VELO_PRICE
0,2022-07-17 00:08:38.000,38935003.7369911,1191103.104831,0.030592089139999997
1,2022-07-17 00:08:38.000,38934334.7922182,1191082.640413,0.030592089139999997
2,2022-07-17 00:16:03.000,38904002.6929537,1188902.453456,0.030559900549999998
3,2022-07-17 00:16:03.000,38904492.3799581,1188917.418242,0.030559900549999998
4,2022-07-17 00:22:55.000,38940732.8374483,1187860.316674,0.03050431335
5,2022-07-17 00:22:55.000,38941185.6300802,1187874.128802,0.03050431335
6,2022-07-17 00:25:30.000,38741193.7507228,1194006.236687,0.030820068279999998
7,2022-07-17 00:27:29.000,38738036.0525405,1194103.565098,0.030825093029999997
8,2022-07-17 00:27:29.000,38738337.1804524,1194112.847393,0.030825093029999997
9,2022-07-17 00:34:42.000,38722898.4718076,1194618.298574,0.030850435939999997
10,2022-07-17 00:34:42.000,38722422.595436,1194603.617581,0.030850435939999997
11,2022-07-17 00:42:05.000,38729236.5637699,1194422.797678,0.030840339329999997
12,2022-07-17 00:42:05.000,38729723.438959,1194437.813074,0.030840339329999997
13,2022-07-17 00:45:57.000,38685974.6950408,1195818.15039,0.030910896259999997
14,2022-07-17 00:48:08.000,39083546.3194784,1186462.395674,0.030357081369999997
15,2022-07-17 00:48:08.000,39083945.2783087,1186474.506899,0.030357081369999997
16,2022-07-17 00:54:16.000,39143934.486146,1184656.200523,0.03026410646
17,2022-07-17 00:54:16.000,39144338.4871794,1184668.427253,0.03026410646
18,2022-07-17 00:59:32.000,39158904.1113907,1184227.775623,0.030241596449999998
19,2022-07-17 01:00:55.000,39159342.1468674,1184214.52888,0.03024091989
20,2022-07-17 01:00:55.000,39159780.187245,1184227.775623,0.03024091989
21,2022-07-17 01:07:37.000,38855663.7593713,1187594.249095,0.030564250719999998
22,2022-07-17 01:07:37.000,38856104.8406896,1187607.730415,0.030564250719999998
23,2022-07-17 01:12:55.000,39075231.9950494,1180968.987028,0.030222955229999997
24,2022-07-17 01:12:55.000,39074881.9993999,1180958.409126,0.030222955229999997
25,2022-07-17 01:18:28.000,39057970.6558776,1181513.080179,0.030250242400000002
26,2022-07-17 01:18:28.000,39057604.1462685,1181501.993175,0.030250242400000002
27,2022-07-17 01:24:44.000,39248941.6010551,1177778.893471,0.03000791475
28,2022-07-17 01:24:44.000,39248527.7586151,1177766.474923,0.03000791475
29,2022-07-17 01:29:49.000,39298586.7214056,1176339.930349,0.02993339019
30,2022-07-17 01:29:49.000,39298251.0211661,1176329.881703,0.02993339019
31,2022-07-17 01:34:34.000,39295421.4654239,1176434.684826,0.02993821267
32,2022-07-17 01:35:04.000,39296402.6535813,1176405.310541,0.02993671764
33,2022-07-17 01:35:04.000,39296749.0982115,1176415.681956,0.02993671764
